Indice,CODIGO,NOMBRE,CANTIDAD,COSTO-UNIT,VALOR-IVA,PRECIO-UNIT,TOTALES
966,"7,7909E+12",MIX ANANA MANDARINA X 1 L,3.0,1652.89,347.11,2000.0,6000.0
1047,"7,79218E+12",OBLEAS 9 ORO CHOC NARANJA 100G,3.0,578.51,121.49,700.0,2100.0
742,"7,79422E+12",JABON BLANCO ARGENTINO,3.0,991.74,208.26,1200.0,3600.0
1192,"7,79152E+12",PRIMER STRONGER,3.0,2479.34,520.66,3000.0,9000.0
635,"7,79154E+12",FRIZZE BLUE 473ML,3.0,247.93,52.07,300.0,900.0
595,"7,79058E+12",FANTA helado de agua 75g,3.0,826.45,173.55,1000.0,3000.0
625,"7,79004E+12",FORMIS ANI CHOCOLATE X102,3.0,826.45,173.55,1000.0,3000.0
626,"7,79004E+12",FORMIS ANIMALES X 102,3.0,826.45,173.55,1000.0,3000.0
636,"7,79154E+12",Frizze Pomelata,3.0,247.93,52.07,300.0,900.0
1340,"7,7912E+12",SKYY VODKA X 750,3.0,5785.12,1214.88,7000.0,21000.0
661,"7,79058E+12",GEL DURAZNO X 18G,3.0,247.93,52.07,300.0,900.0
664,"7,79058E+12",GELAT XL DUO COFLER X 500G,3.0,4958.68,1041.32,6000.0,18000.0
1355,"7,79125E+12",SMRNOFF CITRIC 473ML,3.0,1652.89,347.11,2000.0,6000.0
616,"8,0005E+12",FERRERO ROCHER X 300G,3.0,14876.03,3123.97,18000.0,54000.0
704,"7,79058E+12",HEL LIMA N/BLU MOX 60G,3.0,826.45,173.55,1000.0,3000.0
582,"7,79013E+12",ENCENDEDOR FUEGOLANDIA,3.0,123.97,26.03,150.0,450.0
705,"7,79058E+12",HEL MOGUL 50G,3.0,826.45,173.55,1000.0,3000.0
687,"7,62221E+12",HALLS COLORS,3.0,165.29,34.71,200.0,600.0
694,"7,89803E+12",HEIKEL erveja maizbier 473,3.0,2314.05,485.95,2800.0,8400.0
703,"7,79058E+12",HEL DULCE D LEC 80CC,3.0,1239.67,260.33,1500.0,4500.0
1543,"6,59436E+11",YOOP BAR lush,2.0,1652.89,347.11,2000.0,4000.0
1197,"7,79816E+12",Prï¿½fugo Especias,2.0,3305.79,694.21,4000.0,8000.0
1262,77977106,ROTHMANS 4370 X20,2.0,1834.71,385.29,2220.0,4440.0
1534,"7,79125E+12",whisky white horse 750ML,2.0,9917.36,2082.64,12000.0,24000.0
1258,"7,79334E+12",Rollo de cocina ELEGANTE 200 paï¿½os,2.0,2314.05,485.95,2800.0,5600.0
1542,"6,59436E+11",YOOP BAR love66,2.0,1652.89,347.11,2000.0,4000.0
1386,"7,7928E+12",STELLA PACKS X6 CAJA CARTON,2.0,7438.02,1561.98,9000.0,18000.0
1194,38000845253,PRINGLES QUESO Y CEBOLLA,2.0,702.48,147.52,850.0,1700.0
1354,"7,79125E+12",SMIRNOFF TROPICALS 700ML,2.0,7024.79,1475.21,8500.0,17000.0
1540,"6,59436E+11",YOOP BAR cool mint,2.0,2479.34,520.66,3000.0,6000.0
1250,"7,90587E+12",ROCKLETS MAX 50 G,2.0,330.58,69.42,400.0,800.0
1466,"7,79024E+12",TRAPICHE IMPURO MALBEC,2.0,4958.68,1041.32,6000.0,12000.0
1267,77955388,ROTHMANS RED 20,2.0,371.9,78.1,450.0,900.0
